,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,1,2,3,4,5,6
0,1092.5208000000002,24.73,3.952400000000001,20.88,0.0,0.0,1368.44,0.0152,5.228399999999999,340252.32,242.08,1389.32,13.2844,4.0,13.313199999999997,-63.35280000000001,9.56,7.68,13.6,14.92,9.32,9.24,10.8,9.44,-71.306,-69.34800000000001,-71.75120000000001,-72.9404,-71.98160000000001,-72.66560000000001,-70.32279999999999,-71.85600000000001,-72.5392,-69.96800000000002,-72.38640000000001,-72.31640000000002,-72.33040000000001,-73.43320000000001,-70.8064,-69.59120000000001,-71.44800000000004,5.4128,6.993199999999999,5.898000000000001,5.013999999999999,6.0632,1.9804000000000002,6.4868,4.0176,3.1655999999999995,8.148,4.704,4.5931999999999995,6.601199999999999,1.7108,6.708399999999999,0.0,0.0,0.0,0.0,0.0,0.0
1,684.3894444444445,18.52722222222222,3.9683333333333337,12.333333333333334,0.0,0.0,1290.888888888889,0.005,8.86,325444.44444444444,249.66666666666666,1303.2222222222222,12.211666666666668,3.8333333333333335,9.925555555555555,-75.93388888888892,15.666666666666666,16.72222222222222,13.11111111111111,16.944444444444443,14.722222222222221,18.38888888888889,19.5,14.61111111111111,-88.40444444444445,-89.09444444444443,-85.22722222222225,-86.94944444444445,-88.58777777777777,-89.24111111111112,-86.92777777777776,-90.11000000000003,-87.90055555555556,-89.07777777777778,-85.32055555555556,-87.64722222222223,-87.40333333333334,-87.82388888888889,-86.5427777777778,-90.70222222222222,-84.00166666666668,0.29277777777777775,-0.24611111111111106,4.602777777777777,3.678888888888889,0.24666666666666673,-0.8850000000000001,3.167222222222223,-4.0344444444444445,-0.6627777777777775,-0.4411111111111111,4.239999999999999,2.1633333333333327,0.4755555555555557,-0.33944444444444444,3.1327777777777785,0.0,0.0,0.0,0.0,0.0,0.0
2,369.1066666666666,12.88888888888889,3.4477777777777776,73.66666666666667,0.0,479.3333333333333,794.2222222222222,0.14666666666666667,11.042222222222222,331398.3333333333,246.0,1347.2222222222222,12.837777777777777,3.3333333333333335,-8.030000000000001,-73.6,16.0,21.88888888888889,21.77777777777778,18.555555555555557,13.666666666666666,15.11111111111111,16.444444444444443,12.777777777777779,-77.78,-83.04222222222224,-82.55666666666667,-85.78,-80.31444444444443,-84.4388888888889,-81.0911111111111,-87.11888888888889,-79.52888888888889,-82.82,-84.4311111111111,-86.81333333333333,-82.61777777777777,-87.57,-82.38444444444445,-87.32222222222222,-75.05888888888889,-8.21,-2.0488888888888885,-1.3966666666666667,-5.423333333333333,-6.486666666666667,-1.8266666666666669,-7.826666666666666,-10.68888888888889,-8.055555555555555,-0.026666666666666543,-1.3544444444444446,-4.681111111111111,-8.103333333333333,-4.478888888888889,-6.862222222222223,0.0,0.0,0.0,0.0,0.0,0.0
3,261.2042857142857,15.137142857142857,2.0471428571428576,32.5,1184.9285714285713,93.64285714285714,0.0,0.9071428571428571,11.715,320818.14285714284,244.64285714285714,1311.142857142857,12.404285714285711,2.0714285714285716,-10.09142857142857,-78.84214285714286,15.5,14.5,18.714285714285715,18.285714285714285,16.642857142857142,16.071428571428573,18.571428571428573,13.357142857142858,-82.34142857142858,-86.14428571428572,-83.37999999999998,-90.35714285714286,-89.00999999999999,-88.23714285714284,-88.54642857142858,-89.29142857142857,-84.51357142857144,-88.20642857142859,-85.54999999999998,-90.44214285714285,-91.36642857142859,-89.54428571428572,-93.66142857142856,-90.28071428571427,-76.35071428571428,-12.947857142857144,-6.5007142857142854,-8.760714285714284,-9.907142857142857,-8.227857142857141,-5.652857142857144,-8.854285714285714,-11.822142857142856,-12.607857142857142,-6.679999999999999,-9.000714285714285,-7.741428571428571,-8.434999999999999,-4.255,-12.58642857142857,0.0,0.0,0.0,0.0,0.0,0.0
4,603.2025,25.2225,2.0108333333333337,32.083333333333336,1310.0833333333333,45.75,0.0,0.012499999999999999,5.756666666666667,339515.25,244.58333333333334,1387.9166666666667,14.8225,2.0,21.64833333333333,-65.42,14.666666666666666,18.666666666666668,17.333333333333332,17.25,19.5,15.416666666666666,13.166666666666666,13.333333333333334,-68.77083333333331,-79.5125,-73.8925,-75.4175,-76.69833333333334,-74.42999999999999,-80.28333333333335,-77.205,-79.7675,-91.14166666666667,-85.355,-85.81833333333333,-87.92833333333333,-85.95416666666667,-92.40166666666666,-90.04916666666668,-77.57583333333334,18.93916666666667,5.271666666666666,15.099166666666667,12.115833333333333,9.809166666666666,13.584999999999999,4.645833333333334,9.022499999999999,18.912499999999998,4.8075,14.443333333333333,12.569166666666666,9.1875,13.438333333333333,3.495833333333333,0.0,0.0,0.0,0.0,0.0,0.0
5,403.8463636363638,20.204772727272733,2.161590909090908,30.34090909090909,989.9318181818181,226.5681818181818,0.0,0.03318181818181818,9.47022727272727,300841.8181818182,233.02272727272728,1246.8181818181818,13.679090909090911,2.1818181818181817,12.070227272727273,-69.72727272727276,15.272727272727273,15.454545454545455,15.613636363636363,13.818181818181818,16.886363636363637,14.272727272727273,14.204545454545455,13.704545454545455,-75.66636363636366,-82.40727272727274,-80.59204545454547,-82.73727272727275,-81.96568181818184,-82.6984090909091,-81.83863636363638,-82.60090909090911,-81.17340909090912,-87.67613636363639,-85.91909090909093,-87.75409090909092,-87.19886363636367,-87.28704545454548,-87.76431818181821,-87.38659090909094,-75.7952272727273,4.54,-2.2038636363636357,0.6561363636363637,-1.608181818181818,-1.0756818181818182,-2.628409090909091,-1.9545454545454546,-2.5188636363636365,4.516818181818182,-2.360909090909091,0.1949999999999995,-1.9577272727272723,-0.9893181818181822,-2.2515909090909094,-2.937727272727273,0.0,0.0,0.0,0.0,0.0,0.0
6,737.6248387096773,19.304838709677416,3.8135483870967755,25.129032258064516,0.0,181.19354838709677,1233.4516129032259,0.005806451612903225,11.054193548387099,356995.29032258067,247.83870967741936,1439.774193548387,13.05935483870968,3.870967741935484,21.812580645161287,-62.72451612903229,16.93548387096774,15.935483870967742,15.03225806451613,15.806451612903226,16.870967741935484,17.419354838709676,15.67741935483871,16.29032258064516,-71.09580645161292,-71.92483870967743,-72.86806451612904,-72.25064516129032,-71.34322580645161,-70.84645161290324,-72.33935483870968,-70.6525806451613,-75.55935483870968,-76.11806451612904,-77.14516129032256,-76.88645161290324,-75.98709677419355,-74.89387096774196,-76.32387096774194,-76.00741935483873,-68.60290322580647,12.60290322580645,10.813870967741936,10.518709677419354,10.559677419354838,11.940967741935484,11.059677419354838,11.651935483870966,11.614516129032257,13.416774193548386,10.313548387096773,11.178064516129032,10.595806451612903,12.499354838709676,11.555806451612902,11.321612903225805,0.0,0.0,0.0,0.0,0.0,0.0
7,175.376,12.724666666666671,1.4943333333333333,706.3666666666667,654.9333333333333,0.0,10.833333333333334,0.08600000000000001,9.811666666666667,339605.86666666664,247.46666666666667,1372.1333333333334,8.429333333333334,1.5,1.933,-66.7366666666667,15.1,16.633333333333333,13.6,15.5,14.233333333333333,14.033333333333333,15.833333333333334,13.2,-77.94333333333336,-77.9436666666667,-77.92900000000003,-78.23300000000002,-78.23866666666666,-77.26833333333335,-77.05600000000001,-79.68900000000002,-80.28133333333336,-81.028,-80.58033333333334,-79.28,-81.01666666666667,-80.23633333333333,-79.04733333333336,-81.76933333333335,-66.40633333333335,-6.945666666666667,-7.636999999999999,-6.860666666666666,-6.717666666666667,-9.614333333333333,-5.752,-7.9976666666666665,-8.669,-7.3116666666666665,-8.777999999999999,-6.496333333333333,-6.149,-10.341000000000001,-6.8406666666666665,-6.292,0.0,0.0,0.0,0.0,0.0,0.0
8,868.0741666666668,21.258888888888883,3.8274999999999997,30.555555555555557,34.638888888888886,73.47222222222223,1307.9444444444443,0.08861111111111111,10.670277777777777,356567.6111111111,246.33333333333334,1447.5277777777778,12.87472222222222,3.75,16.1825,-61.15166666666669,15.027777777777779,14.75,11.944444444444445,13.75,12.944444444444445,15.583333333333334,14.083333333333334,14.194444444444445,-68.28750000000001,-65.51833333333335,-68.65027777777779,-67.98027777777779,-68.6663888888889,-68.17694444444447,-67.99583333333334,-68.54611111111113,-72.65583333333335,-69.97083333333335,-73.76000000000002,-74.65722222222225,-74.21833333333335,-74.96805555555557,-73.59666666666668,-74.33611111111112,-64.3527777777778,8.933888888888891,11.264722222222222,7.453055555555555,8.356388888888889,7.607222222222221,9.851388888888888,7.793888888888889,7.123888888888889,9.876388888888888,12.596666666666668,7.434444444444444,6.92,8.251944444444444,8.579722222222221,8.040555555555555,0.0,0.0,0.0,0.0,0.0,0.0
9,435.6736619718311,15.95971830985916,3.133521126760563,32.774647887323944,322.1830985915493,404.5211267605634,567.8028169014085,0.19323943661971832,10.121267605633808,327090.0,246.40845070422534,1327.380281690141,11.64492957746479,3.183098591549296,0.20999999999999966,-71.44845070422541,13.112676056338028,13.32394366197183,11.211267605633802,12.352112676056338,10.845070422535212,10.774647887323944,12.788732394366198,12.859154929577464,-84.38239436619716,-83.75309859154933,-79.95802816901407,-81.17225352112678,-83.61774647887326,-82.58169014084505,-82.77197183098593,-83.26267605633804,-79.82295774647892,-80.11394366197183,-76.45366197183105,-77.7360563380282,-79.4542253521127,-79.59154929577466,-78.64873239436623,-79.10408450704232,-65.79676056338033,-8.844084507042252,-7.516056338028169,-5.078309859154929,-5.510140845070422,-8.683802816901407,-6.924788732394366,-9.282535211267607,-10.229859154929578,-7.394507042253521,-7.422535211267604,-4.622676056338028,-5.733239436619718,-7.9207042253521145,-7.2853521126760565,-8.35619718309859,0.0,0.0,0.0,0.0,0.0,0.0
