Date & Time,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature3_5,feature3_6,feature3_7,feature3_8,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature44_0,feature44_1,feature44_2,feature44_3,feature44_4,feature44_5,feature44_6,feature44_7,feature52_0,feature52_1,feature52_2,feature52_3,feature52_4,feature52_5,feature52_6,feature52_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,feature69_7,feature77_0,feature77_1,feature77_2,feature77_3,feature77_4,feature77_5,feature77_6,feature77_7,feature85_0,feature85_1,feature85_2,feature85_3,feature85_4,feature85_5,feature85_6,feature85_7
	2019-12-18 04:32:05,1096.59,22.36,4.0,0.0,0.0,0.0,1600.0,,,,,0.0,9.18,411788.0,257.0,1601.0,10.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:06,1145.14,21.68,4.0,0.0,0.0,0.0,1600.0,,,,,0.0,8.62,412031.0,258.0,1600.0,9.76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:07,1191.78,22.22,4.0,1.0,0.0,0.0,1600.0,,,,,0.0,10.81,411613.0,257.0,1600.0,9.84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:08,1144.78,21.12,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,7.24,412887.0,258.0,1601.0,9.72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:09,1139.93,22.33,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,10.94,411464.0,257.0,1601.0,13.12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:10,1166.06,21.76,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,9.74,413820.0,258.0,1601.0,13.48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:11,1111.81,20.53,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,8.38,414142.0,259.0,1601.0,13.36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:12,1112.82,20.94,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,9.88,414141.0,259.0,1601.0,13.64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:13,1105.58,20.54,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,7.43,414031.0,259.0,1601.0,13.24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	2019-12-18 04:32:14,1144.7,21.79,4.0,0.0,0.0,0.0,1601.0,,,,,0.0,10.31,413030.0,258.0,1601.0,13.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
