Date & Time,feature0,feature1,feature2,feature3_1,feature3_2,feature3_3,feature3_4,feature3_5,feature3_6,feature3_7,feature3_8,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20_0,feature20_1,feature20_2,feature20_3,feature20_4,feature20_5,feature20_6,feature20_7,feature28_0,feature28_1,feature28_2,feature28_3,feature28_4,feature28_5,feature28_6,feature28_7,feature36_0,feature36_1,feature36_2,feature36_3,feature36_4,feature36_5,feature36_6,feature36_7,feature44_0,feature44_1,feature44_2,feature44_3,feature44_4,feature44_5,feature44_6,feature44_7,feature52_0,feature52_1,feature52_2,feature52_3,feature52_4,feature52_5,feature52_6,feature52_7,feature60,feature61_0,feature61_1,feature61_2,feature61_3,feature61_4,feature61_5,feature61_6,feature61_7,feature69_0,feature69_1,feature69_2,feature69_3,feature69_4,feature69_5,feature69_6,feature69_7,feature77_0,feature77_1,feature77_2,feature77_3,feature77_4,feature77_5,feature77_6,feature77_7,feature85_0,feature85_1,feature85_2,feature85_3,feature85_4,feature85_5,feature85_6,feature85_7
2020-09-26 01:21:12,79.54,13.88,1.0,1430,0,0,0,,,,,0.0,6.22,353089,247,1432,12.04,1,-15.13,-74.38,21.0,17.0,20.0,23.0,6.0,19.0,22.0,5.0,-74.44,-85.0,-79.56,-79.63,-78.69,-80.69,-72.25,-76.75,-78.38,-81.13,-91.31,-86.75,-83.06,-90.44,-84.25,-80.69,,,,,,,,,,,,,,,,,-58.75,-18.13,-11.44,-14.94,-14.06,-11.81,-13.0,-11.38,-14.56,-14.44,-1.25,-18.06,-12.56,-11.31,-9.56,-14.94,-12.31,,,,,,,,,,,,,,,,
2020-09-26 01:21:13,87.85,15.4,1.0,1429,0,0,0,,,,,0.78,9.93,353807,248,1429,12.64,1,-13.88,-73.0,6.0,23.0,22.0,9.0,29.0,17.0,21.0,5.0,-74.81,-77.88,-79.5,-78.44,-82.5,-75.56,-72.38,-74.0,-85.13,-89.56,-85.94,-91.31,-97.75,-81.81,-81.56,-83.31,,,,,,,,,,,,,,,,,-71.38,-10.75,-11.13,-16.63,-7.06,-10.56,-1.31,-14.31,-14.56,-11.88,-12.44,-12.75,-17.44,-18.31,1.31,-13.13,-13.88,,,,,,,,,,,,,,,,
2020-09-26 01:21:14,108.5,17.78,1.0,1392,0,0,0,,,,,0.0,5.96,344053,247,1391,13.46,1,-13.75,-73.75,16.0,17.0,25.0,6.0,27.0,21.0,20.0,5.0,-81.13,-78.19,-81.81,-78.06,-82.19,-70.63,-81.0,-75.5,-93.63,-82.94,-93.88,-88.75,-99.38,-88.75,-93.56,-92.94,,,,,,,,,,,,,,,,,-59.25,-10.13,-6.19,-14.56,-10.75,-11.38,-11.63,-13.94,-12.81,-12.19,-0.19,-17.19,-9.5,-17.94,-14.56,-14.31,-16.31,,,,,,,,,,,,,,,,
2020-09-26 01:21:15,140.5,20.37,1.0,1456,0,0,0,,,,,0.0,7.97,360230,247,1456,13.16,1,-16.25,-79.88,5.0,21.0,25.0,9.0,18.0,6.0,23.0,7.0,-79.69,-81.94,-82.13,-86.56,-86.25,-82.75,-86.69,-85.0,-88.94,-85.44,-88.94,-96.56,-85.38,-89.06,-91.63,-89.38,,,,,,,,,,,,,,,,,-75.13,-15.44,-17.94,-10.81,-14.44,-11.5,-12.63,-14.19,-12.25,-18.13,-16.0,-10.75,-18.0,-7.31,-13.31,-12.19,-8.69,,,,,,,,,,,,,,,,
2020-09-26 01:21:16,151.04,21.57,1.0,1403,0,0,0,,,,,0.0,9.12,344851,246,1403,13.52,1,-14.63,-81.13,21.0,29.0,17.0,25.0,22.0,5.0,6.0,20.0,-83.0,-87.63,-83.63,-79.75,-85.75,-79.44,-83.63,-86.06,-85.63,-94.19,-84.56,-97.56,-91.06,-90.19,-86.88,-96.69,,,,,,,,,,,,,,,,,-76.75,-17.44,-12.81,-7.31,-9.06,-14.5,-13.0,-11.0,-14.06,-13.13,-9.19,-1.56,-18.25,-13.81,-14.44,-5.06,-18.25,,,,,,,,,,,,,,,,
2020-09-26 01:21:17,153.68,21.99,1.0,1344,0,0,0,,,,,0.0,7.94,331035,246,1344,13.32,1,3.0,-78.25,19.0,16.0,17.0,25.0,5.0,26.0,21.0,10.0,-85.13,-86.0,-78.56,-79.0,-85.88,-86.56,-79.38,-86.0,-94.88,-87.06,-83.19,-88.44,-97.06,-86.44,-87.06,-87.75,,,,,,,,,,,,,,,,,-79.13,-8.5,-9.25,-0.38,-10.63,-18.25,-15.56,-12.5,-12.81,-12.38,-3.06,2.5,-9.19,-18.0,-3.81,-10.44,-7.25,,,,,,,,,,,,,,,,
2020-09-26 01:21:18,234.2,20.14,1.91,127,1328,0,0,,,,,0.0,9.92,358169,246,1455,13.0,2,1.5,-79.25,6.0,25.0,28.0,5.0,21.0,22.0,17.0,10.0,-83.19,-80.63,-84.44,-85.56,-78.31,-83.38,-80.13,-79.88,-95.44,-89.5,-103.69,-99.19,-91.44,-87.31,-85.56,-91.56,,,,,,,,,,,,,,,,,-68.25,-11.88,-12.0,-3.06,-18.19,-10.81,-12.69,-3.31,-9.56,-17.44,-10.38,-18.69,-18.19,-12.31,-8.75,-0.69,-14.88,,,,,,,,,,,,,,,,
2020-09-26 01:21:19,205.57,19.77,1.98,30,1212,0,0,,,,,0.85,14.23,305664,246,1242,13.06,2,-10.88,-81.5,25.0,6.0,22.0,5.0,21.0,26.0,17.0,3.0,-83.94,-86.63,-82.31,-83.0,-80.31,-81.25,-84.81,-84.13,-87.44,-91.5,-97.81,-87.38,-87.25,-88.5,-83.25,-99.81,,,,,,,,,,,,,,,,,-78.75,-12.5,-14.0,-9.88,-12.5,-12.0,-10.88,-7.06,-8.69,-8.0,-12.06,-17.94,-12.63,-12.0,-10.06,0.0,-18.31,,,,,,,,,,,,,,,,
2020-09-26 01:21:20,127.46,18.71,1.06,1304,90,0,0,,,,,0.78,7.34,344538,247,1394,12.82,1,-8.88,-80.38,19.0,2.0,18.0,26.0,11.0,5.0,25.0,10.0,-82.88,-84.56,-82.44,-80.75,-84.75,-87.19,-79.25,-80.94,-88.75,-89.38,-89.19,-88.13,-90.75,-84.75,-84.69,-87.38,,,,,,,,,,,,,,,,,-71.5,-11.94,-12.25,-11.25,-10.0,-12.69,-17.19,-6.38,-10.38,-12.13,-15.19,-14.5,-12.56,-13.88,-12.5,-11.0,-13.5,,,,,,,,,,,,,,,,
2020-09-26 01:21:21,124.18,21.01,1.0,1273,0,0,0,,,,,0.87,9.79,313274,246,1273,12.8,1,-10.75,-79.88,17.0,19.0,26.0,2.0,11.0,25.0,21.0,3.0,-82.19,-77.69,-84.44,-82.5,-82.13,-81.69,-82.63,-78.44,-84.19,-93.06,-82.75,-91.56,-89.19,-83.31,-91.06,-87.56,,,,,,,,,,,,,,,,,-71,-7.75,-8.88,-16.63,-14.81,-14.0,-10.81,-12.13,-10.38,-3.63,-17.44,-7.94,-17.38,-13.56,-8.44,-14.38,-12.0,,,,,,,,,,,,,,,,
